title,description,image,href,price,vat,finalPrice,productionYear,power,gearbox,bodyType,fuel,km,externalId
"Volkswagen Passat","06/2018, 1.4 benzinas, 125 Ag, autsedanas, 4/5 durys",https://naudotiauto.mollerauto.lt/lt/vehicle/simage/10130693/h=112/10130693.jpg,https://naudotiauto.mollerauto.lt/lt/vehicle/10130692/volkswagen-passat-comfortline-14-92kw-aut/,19800,20,19998,2018-06,92,Automatinė,Sedanas,Benzinas,44560,10130692
"Volkswagen Passat","07/2017, 1.4 benzinas, 150 Ag, autsedanas, 4/5 durys",https://naudotiauto.mollerauto.lt/lt/vehicle/simage/10130731/h=112/10130731.jpg,https://naudotiauto.mollerauto.lt/lt/vehicle/10130656/volkswagen-passat-highline-rline-201707-14-110kw-aut/,24950,0,30190,2017-07,110,Automatinė,Sedanas,Benzinas,55000,10130656
"Volkswagen Passat","05/2015, 2.0 dyzelis, 150 Ag, autuniversalas, 4/5 durys",https://naudotiauto.mollerauto.lt/lt/vehicle/simage/10130581/h=112/10130581.jpg,https://naudotiauto.mollerauto.lt/lt/vehicle/10130565/volkswagen-passat-highline-2015m-nr33-20-110kw-aut/,14350,21,14350,2015-05,110,Automatinė,Universalas,Dyzelis,199060,10130565
"Volkswagen Passat","04/2016, 2.0 dyzelis, 190 Ag, autuniversalas, 4/5 durys",https://naudotiauto.mollerauto.lt/lt/vehicle/simage/10130459/h=112/10130459.jpg,https://naudotiauto.mollerauto.lt/lt/vehicle/10130458/volkswagen-passat-highline-2016m-nr20-20-140kw-aut/,17950,21,17950,2016-04,140,Automatinė,Universalas,Dyzelis,161720,10130458
"Volkswagen Passat","04/2018, 1.4 benzinas, 125 Ag, autuniversalas, 4/5 durys",https://naudotiauto.mollerauto.lt/lt/vehicle/simage/10130355/h=112/10130355.jpg,https://naudotiauto.mollerauto.lt/lt/vehicle/10130316/volkswagen-passat-14-92kw-aut/,18990,21,18990,2018-04,92,Automatinė,Universalas,Benzinas,53255,10130316
"Volkswagen Passat","05/2018, 1.4 benzinas, 125 Ag, autuniversalas, 4/5 durys",https://naudotiauto.mollerauto.lt/lt/vehicle/simage/10130338/h=112/10130338.jpg,https://naudotiauto.mollerauto.lt/lt/vehicle/10130204/volkswagen-passat-comfortline-14-92kw-aut/,22300,21,22300,2018-05,92,Automatinė,Universalas,Benzinas,37989,10130204
"Volkswagen Passat","06/2017, 1.4 benzinas, 150 Ag, autuniversalas, 4/5 durys",https://naudotiauto.mollerauto.lt/lt/vehicle/simage/10130069/h=112/10130069.jpg,https://naudotiauto.mollerauto.lt/lt/vehicle/10130068/volkswagen-passat-variant-comfortline-14-110kw-aut/,18300,20,18483,2017-06,110,Automatinė,Universalas,Benzinas,58500,10130068
"Volkswagen Passat","06/2017, 1.4 benzinas, 150 Ag, autuniversalas, 4/5 durys",https://naudotiauto.mollerauto.lt/lt/vehicle/simage/10130058/h=112/10130058.jpg,https://naudotiauto.mollerauto.lt/lt/vehicle/10130057/volkswagen-passat-variant-comfortline-14-110kw-aut/,18000,20,18180,2017-06,110,Automatinė,Universalas,Benzinas,72784,10130057
"Volkswagen Passat","05/2018, 1.4 benzinas, 125 Ag, autuniversalas, 4/5 durys",https://naudotiauto.mollerauto.lt/lt/vehicle/simage/10130039/h=112/10130039.jpg,https://naudotiauto.mollerauto.lt/lt/vehicle/10130038/volkswagen-passat-variant-comfortline-14-92kw-aut/,20300,20,20503,2018-05,92,Automatinė,Universalas,Benzinas,37627,10130038
"Volkswagen Passat","03/2012, 1.8 benzinas, 160 Aguniversalas, 4/5 durys",https://naudotiauto.mollerauto.lt/lt/vehicle/simage/10130031/h=112/10130031.jpg,https://naudotiauto.mollerauto.lt/lt/vehicle/10130016/volkswagen-passat-variant-comfortline-tsi-18-118kw-mech/,9900,0,11979,2012-03,118,Mechaninė,Universalas,Benzinas,158193,10130016
"Volkswagen Passat","06/2016, 1.4 benzinas, 150 Ag, autsedanas, 4/5 durys",https://naudotiauto.mollerauto.lt/lt/vehicle/simage/10130276/h=112/10130276.jpg,https://naudotiauto.mollerauto.lt/lt/vehicle/10129824/volkswagen-passat-14-110kw-aut/,17800,21,17800,2016-06,110,Automatinė,Sedanas,Benzinas,108370,10129824
"Volkswagen Passat","06/2018, 1.4 benzinas, 125 Ag, autsedanas, 4/5 durys",https://naudotiauto.mollerauto.lt/lt/vehicle/simage/10129728/h=112/10129728.jpg,https://naudotiauto.mollerauto.lt/lt/vehicle/10129721/volkswagen-passat-comfortline-nr23-14-92kw-aut/,18250,21,18250,2018-06,92,Automatinė,Sedanas,Benzinas,29441,10129721
"Volkswagen Passat","04/2016, 2.0 dyzelis, 190 Ag, autsedanas, 4/5 durys",https://naudotiauto.mollerauto.lt/lt/vehicle/simage/10130119/h=112/10130119.jpg,https://naudotiauto.mollerauto.lt/lt/vehicle/10129720/volkswagen-passat-20-140kw-aut/,20800,21,20800,2016-04,140,Automatinė,Sedanas,Dyzelis,131430,10129720
"Volkswagen Passat","05/2018, 1.4 benzinas, 125 Ag, autuniversalas, 4/5 durys",https://naudotiauto.mollerauto.lt/lt/vehicle/simage/10129570/h=112/10129570.jpg,https://naudotiauto.mollerauto.lt/lt/vehicle/10129569/volkswagen-passat-comfortline-nr14-14-92kw-aut/,18900,21,18900,2018-05,92,Automatinė,Universalas,Benzinas,40214,10129569
"Volkswagen Passat","11/2015, 2.0 dyzelis, 150 Ag, autuniversalas, 4/5 durys",https://naudotiauto.mollerauto.lt/lt/vehicle/simage/10130584/h=112/10130584.jpg,https://naudotiauto.mollerauto.lt/lt/vehicle/10129312/volkswagen-passat-variant-comfortline-tdi-dsg-20-110kw-aut/,13650,20,13787,2015-11,110,Automatinė,Universalas,Dyzelis,171086,10129312
"Volkswagen Passat","08/2017, 2.0 dyzelis, 190 Ag, autuniversalas, 4/5 durys",https://naudotiauto.mollerauto.lt/lt/vehicle/simage/10129361/h=112/10129361.jpg,https://naudotiauto.mollerauto.lt/lt/vehicle/10129289/volkswagen-passat-4motion-rline-facelift-20-140kw-aut/,26900,20,27169,2017-08,140,Automatinė,Universalas,Dyzelis,56072,10129289
"Volkswagen Passat","07/2015, 2.0 dyzelis, 150 Ag, autuniversalas, 4/5 durys",https://naudotiauto.mollerauto.lt/lt/vehicle/simage/10130658/h=112/10130658.jpg,https://naudotiauto.mollerauto.lt/lt/vehicle/10129258/volkswagen-passat-comfortline-nr4-20-110kw-aut/,15000,21,15000,2015-07,110,Automatinė,Universalas,Dyzelis,141586,10129258
"Volkswagen Passat","08/2016, 2.0 dyzelis, 150 Aguniversalas, 4/5 durys",https://naudotiauto.mollerauto.lt/lt/vehicle/simage/10130765/h=112/10130765.jpg,https://naudotiauto.mollerauto.lt/lt/vehicle/10129250/volkswagen-passat-comfortline-nr32-20-110kw-mech/,16650,21,16650,2016-08,110,Mechaninė,Universalas,Dyzelis,119163,10129250
"Volkswagen Passat","09/2015, 2.0 dyzelis, 150 Ag, autuniversalas, 4/5 durys",https://naudotiauto.mollerauto.lt/lt/vehicle/simage/10129422/h=112/10129422.jpg,https://naudotiauto.mollerauto.lt/lt/vehicle/10129209/volkswagen-passat-20-110kw-aut/,17800,21,17800,2015-09,110,Automatinė,Universalas,Dyzelis,144444,10129209
"Volkswagen Passat","07/2016, 2.0 dyzelis, 150 Ag, autuniversalas, 4/5 durys",https://naudotiauto.mollerauto.lt/lt/vehicle/simage/10128717/h=112/10128717.jpg,https://naudotiauto.mollerauto.lt/lt/vehicle/10128716/volkswagen-passat-highline-nr36-20-110kw-aut/,19750,21,19750,2016-07,110,Automatinė,Universalas,Dyzelis,120536,10128716
"Volkswagen Passat","02/2016, 1.4 benzinas, 150 Ag, autuniversalas, 4/5 durys",https://naudotiauto.mollerauto.lt/lt/vehicle/simage/10128901/h=112/10128901.jpg,https://naudotiauto.mollerauto.lt/lt/vehicle/10128497/volkswagen-passat-variant-14-110kw-aut/,14550,20,14696,2016-02,110,Automatinė,Universalas,Benzinas,178009,10128497
"Volkswagen Passat","07/2016, 2.0 dyzelis, 190 Aguniversalas, 4/5 durys",https://naudotiauto.mollerauto.lt/lt/vehicle/simage/10128499/h=112/10128499.jpg,https://naudotiauto.mollerauto.lt/lt/vehicle/10128428/volkswagen-passat-highline-20-140kw-mech/,20400,21,20400,2016-07,140,Mechaninė,Universalas,Dyzelis,79631,10128428
"Volkswagen Passat","05/2018, 1.4 benzinas, 125 Ag, autsedanas, 4/5 durys",https://naudotiauto.mollerauto.lt/lt/vehicle/simage/10128519/h=112/10128519.jpg,https://naudotiauto.mollerauto.lt/lt/vehicle/10128353/volkswagen-passat-comfortline-14-92kw-aut/,21000,21,21000,2018-05,92,Automatinė,Sedanas,Benzinas,29277,10128353
"Volkswagen Passat","11/2015, 2.0 dyzelis, 150 Ag, autuniversalas, 4/5 durys",https://naudotiauto.mollerauto.lt/lt/vehicle/simage/10129180/h=112/10129180.jpg,https://naudotiauto.mollerauto.lt/lt/vehicle/10128306/volkswagen-passat-comfortline-20-110kw-aut/,14800,21,14800,2015-11,110,Automatinė,Universalas,Dyzelis,160379,10128306
"Volkswagen Passat","11/2016, 1.8 benzinas, 180 Agsedanas, 4/5 durys",https://naudotiauto.mollerauto.lt/lt/vehicle/simage/10128198/h=112/10128198.jpg,https://naudotiauto.mollerauto.lt/lt/vehicle/10128197/volkswagen-passat-comfortline-18-132kw-mech/,16950,21,16950,2016-11,132,Mechaninė,Sedanas,Benzinas,56894,10128197
"Volkswagen Passat","02/2017, 2.0 dyzelis, 190 Ag, autuniversalas, 4/5 durys",https://naudotiauto.mollerauto.lt/lt/vehicle/simage/10128808/h=112/10128808.jpg,https://naudotiauto.mollerauto.lt/lt/vehicle/10128147/volkswagen-passat-20-140kw-aut/,24000,21,24000,2017-02,140,Automatinė,Universalas,Dyzelis,35400,10128147
"Volkswagen Passat","07/2019, 1.5 benzinas, 150 Ag, autsedanas, 4/5 durys",https://naudotiauto.mollerauto.lt/lt/vehicle/simage/10127819/h=112/10127819.jpg,https://naudotiauto.mollerauto.lt/lt/vehicle/10127818/volkswagen-passat-highline-15-110kw-aut/,34900,20,35249,2019-07,110,Automatinė,Sedanas,Benzinas,16,10127818
"Volkswagen Passat","07/2016, 2.0 dyzelis, 150 Ag, autuniversalas, 4/5 durys",https://naudotiauto.mollerauto.lt/lt/vehicle/simage/10127803/h=112/10127803.jpg,https://naudotiauto.mollerauto.lt/lt/vehicle/10127561/volkswagen-passat-highline-2016-m-nr36-20-110kw-aut/,14100,21,14100,2016-07,110,Automatinė,Universalas,Dyzelis,207390,10127561
"Volkswagen Passat","01/2017, 2.0 dyzelis, 190 Ag, autuniversalas, 4/5 durys",https://naudotiauto.mollerauto.lt/lt/vehicle/simage/10127367/h=112/10127367.jpg,https://naudotiauto.mollerauto.lt/lt/vehicle/10127366/volkswagen-passat-alltrack-20-140kw-aut/,21550,20,21766,2017-01,140,Automatinė,Universalas,Dyzelis,141272,10127366
"Volkswagen Passat","03/2015, 2.0 dyzelis, 190 Ag, autuniversalas, 4/5 durys",https://naudotiauto.mollerauto.lt/lt/vehicle/simage/10126719/h=112/10126719.jpg,https://naudotiauto.mollerauto.lt/lt/vehicle/10126718/volkswagen-passat-20-140kw-aut/,17550,21,17550,2015-03,140,Automatinė,Universalas,Dyzelis,146692,10126718
"Volkswagen Passat","10/2016, 2.0 dyzelis, 150 Ag, autuniversalas, 4/5 durys",https://naudotiauto.mollerauto.lt/lt/vehicle/simage/10126736/h=112/10126736.jpg,https://naudotiauto.mollerauto.lt/lt/vehicle/10126698/volkswagen-passat-comfortline-20-110kw-aut/,15050,21,15050,2016-10,110,Automatinė,Universalas,Dyzelis,157557,10126698
"Volkswagen Passat","05/2019, 1.4 benzinas, 125 Ag, autuniversalas, 4/5 durys",https://naudotiauto.mollerauto.lt/lt/vehicle/simage/10126295/h=112/10126295.jpg,https://naudotiauto.mollerauto.lt/lt/vehicle/10126273/volkswagen-passat-variant-dsg-14-92kw-aut/,22990,20,23220,2019-05,92,Automatinė,Universalas,Benzinas,4500,10126273
"Volkswagen Passat","10/2016, 2.0 dyzelis, 150 Aguniversalas, 4/5 durys",https://naudotiauto.mollerauto.lt/lt/vehicle/simage/10126040/h=112/10126040.jpg,https://naudotiauto.mollerauto.lt/lt/vehicle/10125992/volkswagen-passat-20-110kw-mech/,16350,21,16350,2016-10,110,Mechaninė,Universalas,Dyzelis,109846,10125992
"Volkswagen Passat","06/2015, 2.0 dyzelis, 150 Ag, autuniversalas, 4/5 durys",https://naudotiauto.mollerauto.lt/lt/vehicle/simage/10134582/h=112/10134582.jpg,https://naudotiauto.mollerauto.lt/lt/vehicle/10125956/volkswagen-passat-20tdi-dsg-nr20-20-110kw-aut/,15350,21,15350,2015-06,110,Automatinė,Universalas,Dyzelis,144764,10125956
"Volkswagen Passat","10/2015, 2.0 dyzelis, 190 Aguniversalas, 4/5 durys",https://naudotiauto.mollerauto.lt/lt/vehicle/simage/10127074/h=112/10127074.jpg,https://naudotiauto.mollerauto.lt/lt/vehicle/10125660/volkswagen-passat-20-140kw-mech/,16500,21,16500,2015-10,140,Mechaninė,Universalas,Dyzelis,130422,10125660
"Volkswagen Passat","10/2015, 1.4 benzinas, 150 Ag, autsedanas, 4/5 durys",https://naudotiauto.mollerauto.lt/lt/vehicle/simage/10127132/h=112/10127132.jpg,https://naudotiauto.mollerauto.lt/lt/vehicle/10125625/volkswagen-passat-14tsi-150zs-dsg-nr19-14-110kw-aut/,13300,21,13300,2015-10,110,Automatinė,Sedanas,Benzinas,107345,10125625
